  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2412                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.955 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2439   0.00570   0.00125  -0.0524   0.6674   0.6709
   1.000   0.3460   0.00551   0.00144  -0.0497   0.5918   0.8763
   2.000   0.4557   0.00588   0.00172  -0.0483   0.5269   0.9688
   3.000   0.5983   0.00647   0.00204  -0.0550   0.4607   0.9951
   4.000   0.7147   0.00718   0.00239  -0.0564   0.3754   1.0000
   5.000   0.8085   0.00810   0.00294  -0.0530   0.2863   1.0000
   6.000   0.9013   0.00951   0.00385  -0.0496   0.1811   1.0000
   7.000   0.9935   0.01124   0.00509  -0.0465   0.0913   1.0000
   8.000   1.0873   0.01283   0.00650  -0.0437   0.0551   1.0000
   9.000   1.1791   0.01445   0.00810  -0.0407   0.0430   1.0000
  10.000   1.2674   0.01609   0.00985  -0.0374   0.0374   1.0000
  11.000   1.3458   0.01809   0.01199  -0.0327   0.0328   1.0000
  12.000   1.4045   0.02058   0.01462  -0.0253   0.0286   1.0000
  13.000   1.4658   0.02311   0.01731  -0.0196   0.0251   1.0000
  14.000   1.5148   0.02682   0.02124  -0.0140   0.0216   1.0000
  15.000   1.5495   0.03233   0.02698  -0.0095   0.0185   1.0000
  16.000   1.5652   0.04065   0.03556  -0.0071   0.0159   1.0000
  17.000   1.5673   0.05175   0.04703  -0.0075   0.0143   1.0000
  18.000   1.5264   0.07018   0.06587  -0.0122   0.0131   1.0000
  19.000   1.4763   0.09169   0.08786  -0.0199   0.0126   1.0000
  20.000   1.4088   0.11763   0.11428  -0.0312   0.0121   1.0000
